Frame,Component ID,Total Length,Average Slope,Average Curvature
1,1,106.01300984766269,2.3123784636455205,0.1798838118836852
1,2,5.9500000000000455,-33063582739.333336,1.1621969741654962e-09
1,3,37.820071000418004,-0.7784758553277328,0.04578521280847601
1,4,271.67154160442135,-2.2105799251478624,0.11840595918275448
1,5,32.16445252695575,-1.9433701163108739,0.11219451787941115
1,6,323.9677794821782,-0.7716611607498595,0.12215736895491322
1,7,164.0380262271607,-0.39144663614025293,0.07873884807130609
1,8,26.438103386505585,-1.5510830806188463,0.19275608277649767
1,9,1.9500000000000455,inf,5.029279014018762e-09
2,1,0.9499999999999886,2528625104.9999995,4.580236956793709e-08
2,2,104.93747231818512,2.9655039987803056,0.19751445033532578
2,3,38.40587919874966,-1.952355521897284,0.18072747653573681
2,4,280.0017999108229,-2.1765838723057684,0.1286244146248414
2,5,41.16192670658866,-2.113912250818808,0.14554464597350264
2,6,302.3445281067392,-0.7293576933879886,0.13619956083057205
2,7,169.46520005404028,-0.43595869289963174,0.11926825360804222
2,8,10.949999999999932,5.95339258908388e-12,3.402570733547659e-10
2,9,121.70796307302997,3.263945110179811,0.12556138056427327
2,10,42.02032356947978,-6.243203953520741,0.0808797627452863
